airline,flight_number,operator_code,aircraft_type,frequency,origin,destination,effective_from,effective_to,direction,source_file
Air India Express,IX 1521,AXB,A320N,1234567,CCU,IXA,29/03/2026,24/10/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 1522,AXB,A320N,1234567,IXA,CCU,29/03/2026,24/10/2026,departure,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,37,IXB,IXA,12/04/2026,22/04/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,367,IXB,IXA,29/03/2026,04/04/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,367,IXB,IXA,03/05/2026,09/05/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,367,IXB,IXA,17/05/2026,23/05/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,367,IXB,IXA,31/05/2026,06/06/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,367,IXB,IXA,14/06/2026,20/06/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,367,IXB,IXA,28/06/2026,04/07/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,367,IXB,IXA,12/07/2026,18/07/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,367,IXB,IXA,26/07/2026,01/08/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,367,IXB,IXA,09/08/2026,15/08/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,367,IXB,IXA,23/08/2026,29/08/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,367,IXB,IXA,06/09/2026,12/09/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,367,IXB,IXA,20/09/2026,26/09/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,367,IXB,IXA,04/10/2026,10/10/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,367,IXB,IXA,18/10/2026,24/10/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,24,IXB,IXA,31/03/2026,16/04/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,24,IXB,IXA,28/04/2026,22/10/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,246,IXB,IXA,18/04/2026,23/04/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,15,IXB,IXA,06/04/2026,10/04/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,15,IXB,IXA,11/05/2026,15/05/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,15,IXB,IXA,25/05/2026,29/05/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,15,IXB,IXA,08/06/2026,12/06/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,15,IXB,IXA,22/06/2026,26/06/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,15,IXB,IXA,06/07/2026,10/07/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,15,IXB,IXA,20/07/2026,24/07/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,15,IXB,IXA,03/08/2026,07/08/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
Air India Express,IX 2892,AXB,B737,15,IXB,IXA,17/08/2026,21/08/2026,arrival,AirIndiaExpressLimited_SS_2026.pdf
