airline,arrival_time,base_fare,booking_method,booking_url,collected_at,currency,departure_time,destination,fare_amount,flight_numbers,imported_at,offer_id,origin,requested_destination,requested_origin,source,stops,tax_amount,total_duration_minutes,travel_date
Akasa Air,2026-09-08 07:10,,,,2026-09-07T17:41:11.903174+00:00,INR,2026-09-08 04:50,BLR,9073.0,QP 1901,,,AMD,BLR,AMD,Google Flights via SerpApi,0,,140,2026-09-08
IndiGo,2026-09-08 05:30,,,,2026-09-07T17:41:21.553730+00:00,INR,2026-09-08 04:00,BOM,3903.0,6E 6285,,,AMD,BOM,AMD,Google Flights via SerpApi,0,,90,2026-09-08
IndiGo,2026-09-08 19:50,,,,2026-09-07T17:41:26.682776+00:00,INR,2026-09-08 17:10,CCU,7034.0,6E 6556,,,AMD,CCU,AMD,Google Flights via SerpApi,0,,160,2026-09-08
Air India,2026-09-08 15:35,,,,2026-09-07T17:41:33.479507+00:00,INR,2026-09-08 14:00,DEL,5803.0,AI 2716,,,AMD,DEL,AMD,Google Flights via SerpApi,0,,95,2026-09-08
Star Air,2026-09-08 11:30,,,,2026-09-07T17:41:40.311761+00:00,INR,2026-09-08 10:30,DIU,3028.0,S5 424,,,AMD,DIU,AMD,Google Flights via SerpApi,0,,60,2026-09-08
Alliance Air,2026-09-08 16:00,,,,2026-09-07T17:41:49.671595+00:00,INR,2026-09-08 15:10,IXK,2740.0,9I 603,,,AMD,IXK,AMD,Google Flights via SerpApi,0,,50,2026-09-08
"Air India, Air India Express",2026-09-09 12:25,,,,2026-09-07T17:41:56.378630+00:00,INR,2026-09-08 21:00,JGA,10970.0,"AI 2494, IX 1805",,,AMD,JGA,AMD,Google Flights via SerpApi,1,,925,2026-09-08
IndiGo,2026-09-09 00:15,,,,2026-09-07T17:44:26.219258+00:00,INR,2026-09-08 21:45,MAA,9187.0,6E 348,,,AMD,MAA,AMD,Google Flights via SerpApi,0,,150,2026-09-08
IndiGo,2026-09-09 04:35,,,,2026-09-07T17:44:32.550829+00:00,INR,2026-09-08 20:10,PNQ,6197.0,"6E 7187, 6E 120",,,AMD,PNQ,AMD,Google Flights via SerpApi,1,,505,2026-09-08
Star Air,2026-09-08 08:45,,,,2026-09-07T17:44:37.042711+00:00,INR,2026-09-08 06:15,PXN,10909.0,S5 618,,,AMD,PXN,AMD,Google Flights via SerpApi,0,,150,2026-09-08
IndiGo,2026-09-08 07:20,,,,2026-09-07T17:44:42.473902+00:00,INR,2026-09-08 05:10,AMD,12033.0,6E 586,,,BLR,AMD,BLR,Google Flights via SerpApi,0,,130,2026-09-08
IndiGo,2026-09-08 23:45,,,,2026-09-07T17:44:47.894117+00:00,INR,2026-09-08 17:55,BOM,7922.0,"6E 747, 6E 6598",,,BLR,BOM,BLR,Google Flights via SerpApi,1,,350,2026-09-08
IndiGo,2026-09-08 19:50,,,,2026-09-07T17:44:57.344905+00:00,INR,2026-09-08 17:00,DEL,8259.0,6E 6039,,,BLR,DEL,BLR,Google Flights via SerpApi,0,,170,2026-09-08
IndiGo,2026-09-08 22:45,,,,2026-09-07T17:45:02.681423+00:00,INR,2026-09-08 21:30,GOX,4248.0,6E 6526,,,BLR,GOX,BLR,Google Flights via SerpApi,0,,75,2026-09-08
IndiGo,2026-09-08 15:00,,,,2026-09-07T17:47:46.293061+00:00,INR,2026-09-08 08:10,IXA,11719.0,"6E 442, 6E 994",,,BLR,IXA,BLR,Google Flights via SerpApi,1,,410,2026-09-08
