origin,destination,travel_date,status,collected_at,reason
AGX,GOX,2026-09-14,FARES_FOUND,2026-09-07T17:23:36.132075+00:00,1 fare observations
AJL,GAU,2026-09-14,FARES_FOUND,2026-09-07T17:23:40.105141+00:00,1 fare observations
AJL,SHL,2026-09-14,FARES_FOUND,2026-09-07T17:23:43.645864+00:00,1 fare observations
AMD,BLR,2026-09-14,FARES_FOUND,2026-09-07T17:23:50.347475+00:00,12 fare observations
AMD,BOM,2026-09-14,FARES_FOUND,2026-09-07T17:23:54.478447+00:00,16 fare observations
AMD,CCU,2026-09-14,FARES_FOUND,2026-09-07T17:23:58.268759+00:00,5 fare observations
AMD,DEL,2026-09-14,FARES_FOUND,2026-09-07T17:24:01.768076+00:00,20 fare observations
AMD,IXB,2026-09-14,FARES_FOUND,2026-09-07T17:24:07.521448+00:00,10 fare observations
AMD,JLG,2026-09-14,FARES_FOUND,2026-09-07T17:24:13.847213+00:00,1 fare observations
AMD,MAA,2026-09-14,FARES_FOUND,2026-09-07T17:24:20.668471+00:00,11 fare observations
AGX,GOX,2026-09-08,NO_FARE_FOUND,2026-09-07T17:40:49.366445+00:00,Google Flights returned no fare observations.
AMD,BLR,2026-09-08,FARES_FOUND,2026-09-07T17:41:18.543682+00:00,10 fare observations
AMD,BOM,2026-09-08,FARES_FOUND,2026-09-07T17:41:23.672997+00:00,16 fare observations
AMD,CCU,2026-09-08,FARES_FOUND,2026-09-07T17:41:30.469774+00:00,8 fare observations
AMD,DEL,2026-09-08,FARES_FOUND,2026-09-07T17:41:37.302089+00:00,19 fare observations
AMD,DIU,2026-09-08,FARES_FOUND,2026-09-07T17:41:42.503215+00:00,2 fare observations
AMD,IXK,2026-09-08,FARES_FOUND,2026-09-07T17:41:53.368449+00:00,1 fare observations
AMD,JGA,2026-09-08,FARES_FOUND,2026-09-07T17:42:01.139866+00:00,5 fare observations
AMD,MAA,2026-09-08,FARES_FOUND,2026-09-07T17:44:29.544481+00:00,12 fare observations
AMD,PNQ,2026-09-08,FARES_FOUND,2026-09-07T17:44:34.034307+00:00,8 fare observations
AMD,PXN,2026-09-08,FARES_FOUND,2026-09-07T17:44:39.464239+00:00,3 fare observations
BLR,AMD,2026-09-08,FARES_FOUND,2026-09-07T17:44:44.884555+00:00,9 fare observations
BLR,BOM,2026-09-08,FARES_FOUND,2026-09-07T17:44:54.335164+00:00,32 fare observations
BLR,DEL,2026-09-08,FARES_FOUND,2026-09-07T17:44:59.674956+00:00,37 fare observations
BLR,GOX,2026-09-08,FARES_FOUND,2026-09-07T17:45:07.467055+00:00,9 fare observations
BLR,IXA,2026-09-08,FARES_FOUND,2026-09-07T17:47:48.385562+00:00,5 fare observations
BLR,IXX,2026-09-08,FARES_FOUND,2026-09-07T17:47:53.295589+00:00,1 fare observations
BLR,NDC,2026-09-08,FARES_FOUND,2026-09-07T17:48:03.547683+00:00,1 fare observations
BLR,SDW,2026-09-08,NO_FARE_FOUND,2026-09-07T17:48:15.668048+00:00,Google Flights returned no fare observations.
BLR,VDY,2026-09-08,FARES_FOUND,2026-09-07T17:48:21.986222+00:00,1 fare observations
BOM,AMD,2026-09-08,FARES_FOUND,2026-09-07T17:48:31.710990+00:00,16 fare observations
BOM,BLR,2026-09-08,FARES_FOUND,2026-09-07T17:48:36.226247+00:00,33 fare observations
AMD,BLR,2026-09-08,FARES_FOUND,2026-09-08T14:11:52.745060+00:00,5 fare observations
AMD,BOM,2026-09-08,FARES_FOUND,2026-09-08T14:11:58.015311+00:00,4 fare observations
AMD,CCU,2026-09-08,FARES_FOUND,2026-09-08T14:12:04.954715+00:00,4 fare observations
AMD,DEL,2026-09-08,FARES_FOUND,2026-09-08T14:12:10.105910+00:00,4 fare observations
AMD,JGA,2026-09-08,NO_FARE_FOUND,2026-09-08T14:12:49.555259+00:00,Google Flights returned no fare observations.
AMD,MAA,2026-09-08,FARES_FOUND,2026-09-08T14:39:27.542311+00:00,5 fare observations
AMD,PNQ,2026-09-08,FARES_FOUND,2026-09-08T14:39:39.057817+00:00,4 fare observations
BLR,AMD,2026-09-08,FARES_FOUND,2026-09-08T14:39:49.822766+00:00,5 fare observations
