airline,flight_number,origin,destination,travel_date,advance_window,aircraft_type,frequency,effective_from,effective_to,source_file,search_status
Air India Express,IX 1521,CCU,IXA,2026-09-08,T+1,A320N,1234567,29/03/2026,24/10/2026,AirIndiaExpressLimited_SS_2026.pdf,queued
Air India Express,IX 1521,CCU,IXA,2026-09-14,T+7,A320N,1234567,29/03/2026,24/10/2026,AirIndiaExpressLimited_SS_2026.pdf,queued
Air India Express,IX 1521,CCU,IXA,2026-09-22,T+15,A320N,1234567,29/03/2026,24/10/2026,AirIndiaExpressLimited_SS_2026.pdf,queued
Air India Express,IX 1521,CCU,IXA,2026-10-07,T+30,A320N,1234567,29/03/2026,24/10/2026,AirIndiaExpressLimited_SS_2026.pdf,queued
Air India Express,IX 1521,CCU,IXA,2026-10-22,T+45,A320N,1234567,29/03/2026,24/10/2026,AirIndiaExpressLimited_SS_2026.pdf,queued
Air India Express,IX 1522,IXA,CCU,2026-09-08,T+1,A320N,1234567,29/03/2026,24/10/2026,AirIndiaExpressLimited_SS_2026.pdf,queued
Air India Express,IX 1522,IXA,CCU,2026-09-14,T+7,A320N,1234567,29/03/2026,24/10/2026,AirIndiaExpressLimited_SS_2026.pdf,queued
Air India Express,IX 1522,IXA,CCU,2026-09-22,T+15,A320N,1234567,29/03/2026,24/10/2026,AirIndiaExpressLimited_SS_2026.pdf,queued
Air India Express,IX 1522,IXA,CCU,2026-10-07,T+30,A320N,1234567,29/03/2026,24/10/2026,AirIndiaExpressLimited_SS_2026.pdf,queued
Air India Express,IX 1522,IXA,CCU,2026-10-22,T+45,A320N,1234567,29/03/2026,24/10/2026,AirIndiaExpressLimited_SS_2026.pdf,queued
Air India Express,IX 2892,IXB,IXA,2026-09-08,T+1,B737,37,12/04/2026,22/04/2026,AirIndiaExpressLimited_SS_2026.pdf,queued
Air India Express,IX 2892,IXB,IXA,2026-09-14,T+7,B737,37,12/04/2026,22/04/2026,AirIndiaExpressLimited_SS_2026.pdf,queued
Air India Express,IX 2892,IXB,IXA,2026-09-22,T+15,B737,37,12/04/2026,22/04/2026,AirIndiaExpressLimited_SS_2026.pdf,queued
Air India Express,IX 2892,IXB,IXA,2026-10-07,T+30,B737,37,12/04/2026,22/04/2026,AirIndiaExpressLimited_SS_2026.pdf,queued
Air India Express,IX 2892,IXB,IXA,2026-10-22,T+45,B737,37,12/04/2026,22/04/2026,AirIndiaExpressLimited_SS_2026.pdf,queued
Air India,AI 2909,DEL,AMD,2026-09-08,T+1,A320,5,05/06/2026,23/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2909,DEL,AMD,2026-09-14,T+7,A320,5,05/06/2026,23/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2909,DEL,AMD,2026-09-22,T+15,A320,5,05/06/2026,23/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2909,DEL,AMD,2026-10-07,T+30,A320,5,05/06/2026,23/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2909,DEL,AMD,2026-10-22,T+45,A320,5,05/06/2026,23/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2918,AMD,BOM,2026-09-08,T+1,A320,7,29/03/2026,29/03/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2918,AMD,BOM,2026-09-14,T+7,A320,7,29/03/2026,29/03/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2918,AMD,BOM,2026-09-22,T+15,A320,7,29/03/2026,29/03/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2918,AMD,BOM,2026-10-07,T+30,A320,7,29/03/2026,29/03/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2918,AMD,BOM,2026-10-22,T+45,A320,7,29/03/2026,29/03/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2906,AMD,DEL,2026-09-08,T+1,A320,7,29/03/2026,29/03/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2906,AMD,DEL,2026-09-14,T+7,A320,7,29/03/2026,29/03/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2906,AMD,DEL,2026-09-22,T+15,A320,7,29/03/2026,29/03/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2906,AMD,DEL,2026-10-07,T+30,A320,7,29/03/2026,29/03/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2906,AMD,DEL,2026-10-22,T+45,A320,7,29/03/2026,29/03/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 817,DEL,AMD,2026-09-08,T+1,A321,1234567,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 817,DEL,AMD,2026-09-14,T+7,A321,1234567,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 817,DEL,AMD,2026-09-22,T+15,A321,1234567,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 817,DEL,AMD,2026-10-07,T+30,A321,1234567,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 817,DEL,AMD,2026-10-22,T+45,A321,1234567,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 493,BOM,AMD,2026-09-08,T+1,A321,1234567,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 493,BOM,AMD,2026-09-14,T+7,A321,1234567,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 493,BOM,AMD,2026-09-22,T+15,A321,1234567,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 493,BOM,AMD,2026-10-07,T+30,A321,1234567,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 493,BOM,AMD,2026-10-22,T+45,A321,1234567,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 818,AMD,DEL,2026-09-08,T+1,A321,1234567,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 818,AMD,DEL,2026-09-14,T+7,A321,1234567,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 818,AMD,DEL,2026-09-22,T+15,A321,1234567,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 818,AMD,DEL,2026-10-07,T+30,A321,1234567,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 818,AMD,DEL,2026-10-22,T+45,A321,1234567,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 494,AMD,BOM,2026-09-08,T+1,A321,1234567,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 494,AMD,BOM,2026-09-14,T+7,A321,1234567,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 494,AMD,BOM,2026-09-22,T+15,A321,1234567,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 494,AMD,BOM,2026-10-07,T+30,A321,1234567,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 494,AMD,BOM,2026-10-22,T+45,A321,1234567,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2959,DEL,AMD,2026-09-08,T+1,A320,67,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2959,DEL,AMD,2026-09-14,T+7,A320,67,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2959,DEL,AMD,2026-09-22,T+15,A320,67,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2959,DEL,AMD,2026-10-07,T+30,A320,67,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2959,DEL,AMD,2026-10-22,T+45,A320,67,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2946,AMD,DEL,2026-09-08,T+1,A320,67,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2946,AMD,DEL,2026-09-14,T+7,A320,67,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2946,AMD,DEL,2026-09-22,T+15,A320,67,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2946,AMD,DEL,2026-10-07,T+30,A320,67,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2946,AMD,DEL,2026-10-22,T+45,A320,67,29/03/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 424,AMD,DEL,2026-09-08,T+1,B787,3,06/05/2026,06/05/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 424,AMD,DEL,2026-09-14,T+7,B787,3,06/05/2026,06/05/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 424,AMD,DEL,2026-09-22,T+15,B787,3,06/05/2026,06/05/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 424,AMD,DEL,2026-10-07,T+30,B787,3,06/05/2026,06/05/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 424,AMD,DEL,2026-10-22,T+45,B787,3,06/05/2026,06/05/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2847,BOM,AMD,2026-09-08,T+1,A320,3,01/04/2026,29/04/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2847,BOM,AMD,2026-09-14,T+7,A320,3,01/04/2026,29/04/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2847,BOM,AMD,2026-09-22,T+15,A320,3,01/04/2026,29/04/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2847,BOM,AMD,2026-10-07,T+30,A320,3,01/04/2026,29/04/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2847,BOM,AMD,2026-10-22,T+45,A320,3,01/04/2026,29/04/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2848,AMD,BOM,2026-09-08,T+1,A320,3,01/04/2026,29/04/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2848,AMD,BOM,2026-09-14,T+7,A320,3,01/04/2026,29/04/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2848,AMD,BOM,2026-09-22,T+15,A320,3,01/04/2026,29/04/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2848,AMD,BOM,2026-10-07,T+30,A320,3,01/04/2026,29/04/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 2848,AMD,BOM,2026-10-22,T+45,A320,3,01/04/2026,29/04/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 423,DEL,AMD,2026-09-08,T+1,B777,6,08/08/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 423,DEL,AMD,2026-09-14,T+7,B777,6,08/08/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 423,DEL,AMD,2026-09-22,T+15,B777,6,08/08/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 423,DEL,AMD,2026-10-07,T+30,B777,6,08/08/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Air India,AI 423,DEL,AMD,2026-10-22,T+45,B777,6,08/08/2026,24/10/2026,AirIndiaLtd_SS_2026.pdf,queued
Alliance Air,9I 611,BOM,AMD,2026-09-08,T+1,ATR 72,46,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 611,BOM,AMD,2026-09-14,T+7,ATR 72,46,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 611,BOM,AMD,2026-09-22,T+15,ATR 72,46,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 611,BOM,AMD,2026-10-07,T+30,ATR 72,46,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 611,BOM,AMD,2026-10-22,T+45,ATR 72,46,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 603,AMD,IXK,2026-09-08,T+1,ATR 72,46,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 603,AMD,IXK,2026-09-14,T+7,ATR 72,46,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 603,AMD,IXK,2026-09-22,T+15,ATR 72,46,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 603,AMD,IXK,2026-10-07,T+30,ATR 72,46,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 603,AMD,IXK,2026-10-22,T+45,ATR 72,46,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 610,JLG,AMD,2026-09-08,T+1,ATR 72,2,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 610,JLG,AMD,2026-09-14,T+7,ATR 72,2,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 610,JLG,AMD,2026-09-22,T+15,ATR 72,2,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 610,JLG,AMD,2026-10-07,T+30,ATR 72,2,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 610,JLG,AMD,2026-10-22,T+45,ATR 72,2,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 604,IXK,AMD,2026-09-08,T+1,ATR 72,46,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 604,IXK,AMD,2026-09-14,T+7,ATR 72,46,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 604,IXK,AMD,2026-09-22,T+15,ATR 72,46,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 604,IXK,AMD,2026-10-07,T+30,ATR 72,46,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 604,IXK,AMD,2026-10-22,T+45,ATR 72,46,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 609,AMD,JLG,2026-09-08,T+1,ATR 72,46,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 609,AMD,JLG,2026-09-14,T+7,ATR 72,46,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 609,AMD,JLG,2026-09-22,T+15,ATR 72,46,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 609,AMD,JLG,2026-10-07,T+30,ATR 72,46,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 609,AMD,JLG,2026-10-22,T+45,ATR 72,46,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 861,HSS,AMD,2026-09-08,T+1,ATR 42,24,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 861,HSS,AMD,2026-09-14,T+7,ATR 42,24,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 861,HSS,AMD,2026-09-22,T+15,ATR 42,24,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 861,HSS,AMD,2026-10-07,T+30,ATR 42,24,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 861,HSS,AMD,2026-10-22,T+45,ATR 42,24,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 862,AMD,HSS,2026-09-08,T+1,ATR 42,24,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 862,AMD,HSS,2026-09-14,T+7,ATR 42,24,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 862,AMD,HSS,2026-09-22,T+15,ATR 42,24,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 862,AMD,HSS,2026-10-07,T+30,ATR 42,24,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 862,AMD,HSS,2026-10-22,T+45,ATR 42,24,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 612,AMD,BOM,2026-09-08,T+1,ATR 72,46,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 612,AMD,BOM,2026-09-14,T+7,ATR 72,46,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 612,AMD,BOM,2026-09-22,T+15,ATR 72,46,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 612,AMD,BOM,2026-10-07,T+30,ATR 72,46,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 612,AMD,BOM,2026-10-22,T+45,ATR 72,46,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 786,SHL,AJL,2026-09-08,T+1,ATR 72,125,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 786,SHL,AJL,2026-09-14,T+7,ATR 72,125,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 786,SHL,AJL,2026-09-22,T+15,ATR 72,125,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 786,SHL,AJL,2026-10-07,T+30,ATR 72,125,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 786,SHL,AJL,2026-10-22,T+45,ATR 72,125,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 787,GAU,AJL,2026-09-08,T+1,ATR 72,7,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 787,GAU,AJL,2026-09-14,T+7,ATR 72,7,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 787,GAU,AJL,2026-09-22,T+15,ATR 72,7,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 787,GAU,AJL,2026-10-07,T+30,ATR 72,7,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 787,GAU,AJL,2026-10-22,T+45,ATR 72,7,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 785,AJL,SHL,2026-09-08,T+1,ATR 72,125,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 785,AJL,SHL,2026-09-14,T+7,ATR 72,125,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 785,AJL,SHL,2026-09-22,T+15,ATR 72,125,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 785,AJL,SHL,2026-10-07,T+30,ATR 72,125,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 785,AJL,SHL,2026-10-22,T+45,ATR 72,125,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
Alliance Air,9I 787,AJL,IMF,2026-09-08,T+1,ATR 72,36,29/03/2026,24/10/2026,AllianceAir_SS_2026.pdf,queued
