source,origin,destination,travel_date,status,reason,collected_at
SerpApi Google Flights,AGX,GOX,2026-09-08,NO_FARE_FOUND,Google Flights returned no valid fare observations.,2026-09-07T17:01:27.580896+05:30
SerpApi Google Flights,AJL,SHL,2026-09-08,API_ERROR,Google Flights hasn't returned any results for this query.,2026-09-07T17:01:29.692823+05:30
SerpApi Google Flights,AMD,HSS,2026-09-08,API_ERROR,Google Flights hasn't returned any results for this query.,2026-09-07T17:01:42.129576+05:30
SerpApi Google Flights,AMD,IXK,2026-09-08,NO_FARE_FOUND,Google Flights returned no valid fare observations.,2026-09-07T17:01:44.214550+05:30
Google Flights via SerpApi,AGX,GOX,2026-09-08,NO_FARE_FOUND,Google Flights returned no fare observations.,2026-09-07T17:40:37.590453+00:00
Google Flights via SerpApi,BLR,SDW,2026-09-08,NO_FARE_FOUND,Google Flights returned no fare observations.,2026-09-07T17:48:06.558002+00:00
Google Flights via SerpApi,AMD,JGA,2026-09-08,NO_FARE_FOUND,Google Flights returned no fare observations.,2026-09-08T14:12:38.160398+00:00
Google Flights via SerpApi,AGX,GOX,2026-09-10,NO_FARE_FOUND,Google Flights returned no fare observations.,2026-09-09T14:46:47.933697+00:00
Google Flights via SerpApi,AMD,HSS,2026-09-10,NO_FARE_FOUND,Google Flights hasn't returned any results for this query.,2026-09-09T14:47:48.877907+00:00
Google Flights via SerpApi,AMD,IXK,2026-09-10,NO_FARE_FOUND,Google Flights hasn't returned any results for this query.,2026-09-09T14:48:06.272408+00:00
Google Flights via SerpApi,AGX,GOX,2026-09-10,NO_FARE_FOUND,Google Flights hasn't returned any results for this query.,2026-09-11T03:26:17.730530+00:00
Google Flights via SerpApi,AMD,BLR,2026-09-10,NO_FARE_FOUND,Google Flights hasn't returned any results for this query.,2026-09-11T03:26:22.530041+00:00
Google Flights via SerpApi,AMD,BOM,2026-09-10,NO_FARE_FOUND,Google Flights hasn't returned any results for this query.,2026-09-11T03:26:26.945950+00:00
Google Flights via SerpApi,AMD,CCU,2026-09-10,NO_FARE_FOUND,Google Flights hasn't returned any results for this query.,2026-09-11T03:26:31.222943+00:00
